//X Y Z R G B PointSourceId ScanAngleRank ScanDirectionFlag NumberOfReturns ReturnNumber GpsTime Intensity
544491.57592773 258517.35375977 6.40399780 39 39 39 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.912228 9989.000000
544492.02075195 258517.41821289 6.40399780 43 43 43 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.912230 11106.000000
544492.46557617 258517.48266602 6.39699783 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.912232 9811.000000
544492.90893555 258517.55493164 6.41399994 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.912234 10446.000000
544493.35473633 258517.61352539 6.38999786 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.912236 9611.000000
544493.79858398 258517.68579102 6.39899673 35 35 35 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.912239 9060.000000
544491.18579102 258516.70727539 6.39300003 36 36 36 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.922219 9445.000000
544491.63159180 258516.76782227 6.38199844 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.922222 9793.000000
544492.07446289 258516.84399414 6.41099777 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.922224 10469.000000
544492.52026367 258516.90454102 6.39599838 41 41 41 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.922226 10689.000000
544492.96508789 258516.96704102 6.38399734 35 35 35 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.922228 9158.000000
544493.40942383 258517.03735352 6.39199677 34 34 34 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.922230 8847.000000
544493.85375977 258517.10766602 6.39699783 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.922233 9784.000000
544494.29858398 258517.17211914 6.38399734 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.922235 9474.000000
544494.74194336 258517.24633789 6.39799728 40 40 40 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.922237 10293.000000
544495.18725586 258517.30688477 6.37299957 38 38 38 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.922239 9847.000000
544495.63159180 258517.37719727 6.37499847 37 37 37 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.922241 9587.000000
544496.07543945 258517.44750977 6.37399902 35 35 35 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.922244 9085.000000
544496.52026367 258517.51391602 6.35599747 42 42 42 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.922246 10922.000000
544496.96411133 258517.58422852 6.35299911 35 35 35 3739.000000 1.000000 1.000000 1.000000 1.000000 288938.922248 9076.000000
