// X Y Z R G B Original_cloud_index PIntensity

// voxel 0
10.5 0.5 0.5 0 255 0 2.000000 33153.000000

// voxel 2
10.5 1.5 0.5 0 255 0 1.000000 34181.000000
10.3 1.4 0.5 0 255 0 0.000000 34181.000000

// voxel 3 (added)
11.7 1.7 0.6 0 255 0 2.000000 346751.000000
11.8 1.8 0.8 0 255 0 0.000000 346751.000000
11.3 1.9 0.8 0 255 0 0.000000 346751.000000
11.8 1.8 0.8 0 255 0 0.000000 346751.000000
11.8 1.8 0.8 0 255 0 0.000000 346751.000000
11.8 1.8 0.8 0 255 0 0.000000 346751.000000

// voxel 4
10.5 0.5 1.5 0 255 0 0.000000 24929.000000

// voxel 6
10.5 1.5 1.5 0 255 0 2.000000 25186.000000
